Id,Estación,Dirección,Lat1,Long1,Lat,Long
4,Plaza de España,Plaza de España,40º25'25.87N,3º42'44.09w,40.423853,-3.712247
8,Escuelas Aguirre,Entre calle Alcala y ODonell,40º25'17.63N,3º40'56.35w,40.421564,-3.682319
11,Avenida Ramón y Cajal,Avenida Ramón y Cajal - Príncipe de Vergara,40º27'05.31N,3º40'38.48w,40.451475,-3.677356
16,Arturo Soria,Arturo Soria - Vizconde de los Asilos,40º26'24.17N,3º38'21.24w,40.440047,-3.639233
17,Villaverde,Juan Peñálver – Palomares,40º20'49.70N,3º42'47.96w,40.347139,-3.713322
18,Farolillo,Farolillo - Ervigio,40º23'41.21N,3º43'54.67w,40.394781,-3.731853
24,Casa de Campo,Terminal del Teleférico de la Casa de Campo,40º25'09.68N,3º44'50.45w,40.419356,-3.747347
27,Barajas Pueblo,Júpiter - Barajas,40º28'36.94N,3º34'48.11w,40.476928,-3.580031
35,Plaza del Carmen,Plaza del Carmen - Tres Cruces,40º25'09.15N,3º42'11.42w,40.419208,-3.703172
36,Moratalaz,Avenida Moratalaz - Camino de Vinateros,40º24'28.61N,3º38'43.10w,40.407947,-3.645306
38,Cuatro Caminos,Pablo Iglesias - Marqués de Lema,40º26'43.96N,3º42'25.66w,40.445544,-3.707128
39,Barrio del Pilar,Avenida Betanzos - Monforte de Lemos,40º28'41.62N,3º42'41.55w,40.478228,-3.711542
40,Puente de Vallecas,Arroyo del Olivar - Río Grande,40º23'17.35N,3º39'05.48w,40.388153,-3.651522
47,Méndez Alvaro,Juan de Mariana - Amanecer M. Álvaro,40º23'53.21N,3º41'12.57w,40.398114,-3.686825
48,Castellana,Jose Gutiérrez Abascal,40º26'23.63N,3º41'25.32w,40.439897,-3.690367
49,Parque del Retiro,Paseo Venezuela - Casa de Vacas,40º24'52.00N,3º40'57.30w,40.414444,-3.682583
50,Plaza de Castilla,Plaza de Castilla - Canal,40º27'56.06N,3º41'19.57w,40.465572,-3.688769
54,Ensanche de Vallecas,Avenida La Gavia - Avenida Las Suertes,40º22'22.56N,3º36'43.62w,40.372933,-3.612117
55,Urbanización Embajada,Rio - Barajas,40º27'45.11N,3º34'50.69w,40.462531,-3.580747
56,Plaza Fernández Ladreda,Plaza de Fernández Ladreda - Avenida Oporto,40º23'05.87N,3º43'07.42w,40.384964,-3.718728
57,Sanchinarro,Princesa de Éboli - María Tudor,40º29'30.15N,3º39'37.81w,40.491708,-3.660503
58,El Pardo,Avenida La Guardia,40º31'05.01N,3º46'28.60w,40.518058,-3.774611
59,Juan Carlos I,Parque Juan Carlos I,40º27'54.90N,3º36'32.66w,40.465250,-3.609072
60,Tres Olivos,Plaza Tres Olivos,40º30'02.12N,3º41'23.14w,40.500589,-3.689761
