code,pollutant,name,name2,name3,
1,SO2,DIÓXIDO,DE,AZUFRE,
2,HNN,HUMO,NEGRO,,
3,SPM,PARTÍCULAS,EN,SUSPENSIÓN,
4,AF,ACIDEZ,FUERTE,,
5,CO2,DIÓXIDO,DE,CARBONO,
6,CO,MONÓXIDO,DE,CARBONO,
7,NO,MONÓXIDO,DE,NITRÓGENO,
8,NO2,DIÓXIDO,DE,NITRÓGENO,
9,PM2.5,PARTÍCULAS,EN,SUSPENSIÓN,(<2.5)
10,PM10,PARTÍCULAS,EN,SUSPENSIÓN,(<10)
12,NOx,ÓXIDOS,DE,NITRÓGENO,TOTALES
14,O3,OZONO,,,
18,A,,,,
—,ANIONES,,,,
19,Pb,PLOMO,,,
20,TOL,TOLUENO,,,
28,Cd,CADMIO,,,
30,BEN,BENCENO,,,
35,EBE,ETILBENCENO,,,
36,BUT,BUTADIENO,,,
37,MXY,METAXYLENO,,,
38,PXY,PARAXYLENO,,,
39,OXY,ORTOXYLENO,,,
42,HC,HIDROCARBUROS,TOTALES,(EXANO),
43,CH4,METANO,,,
44,NMH,HIDROCARBUROS,NO,METÁNICOS,
50,PSD,PARTÍCULAS,SEDIMENTABLES,,
51,HAP,HIDROCARB.,AROMAT.,POLICICLICOS,
52,VOC,COMPUESTOS,ORGÁNICOS,VOLÁTILES,
53,Cl2,CLORO,MOLECULAR,,
54,FH,FLUORURO,DE,HIDROGENO,
55,Cl,—,CLORUROS,,
56,F,—,FLUORUROS,,
57,Br,—,BROMUROS,,
58,HCl,ACIDO,CLORHÍDRICO,,
59,Cu,COBRE,,,
60,Fe,HIERRO,,,
61,Mn,MANGANESO,,,
62,Ni,NÍQUEL,,,
63,NH3,AMONIACO,,,
64,HCP,HIDROCARBUROS,PETROLÍGENOS,,
65,SH2,SULFURO,DE,HIDROGENO,
66,ASB,ASBESTOS,,,
80,UV,RADIACIÓN,ULTRAVIOLETA,,
81,VV,VELOCIDAD,DE,VIENTO,
82,DD,DIRECCIÓN,DE,VIENTO,
83,TMP,TEMPERATURA,MEDIA,,
84,TMX,TEMPERATURA,MÁXIMA,,
85,TMI,TEMPERATURA,MINIMA,,
86,HR,HUMEDAD,RELATIVA,,
87,PRB,PRESIÓN,BAROMÉTRICA,,
88,RS,RADIACIÓN,SOLAR,,
89,LL,PRECIPITACIÓN,,,
90,EST,ESTABILIDAD,,,
92,LLA,LLUVIA,ÁCIDA,,
